,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
77,0.8395372662,18349.9020817116,58466943.86991655,19.25,0
78,1.1642331974,80511.7544395639,42118247.579524025,18.54,0
79,0.9419763057,79531.909216142,72192646.93765417,19.0,0
80,0.8995803882,46055.704244769,6481999.516904809,19.1,1
81,0.0567596853,36084.4759595308,3945815.604484121,25.1,0
82,0.0820427065,37922.0576396191,32345980.94592387,24.3,0
83,0.1361570015,41350.483343466,41971848.0371857,23.2,0
84,0.2477650126,70986.8255907121,62866556.47492155,21.9,0
85,0.0597090249,97279.0567687843,63163057.852564335,24.99,0
86,0.0839537266,54577.4835045074,30382200.865199752,24.25,0
87,0.015850391,68836.1023423451,64249245.54571862,27.87,0
88,1.4061769631,28380.3471845248,48566372.723217934,18.13,0
89,0.6516883822,56585.6108016358,25876695.04888037,19.8,0
90,0.1361570015,14838.5095135883,2547549.296438411,23.2,0
91,0.0899580388,21809.7662886031,9646922.004118385,24.1,0
92,0.3750075218,50274.7525542506,43377698.49348701,21.0,0
93,0.0682401509,45889.536871755,40318791.06505293,24.7,0
94,0.3119176705,50481.4833224874,55614625.95378576,21.4,1
95,0.0171411509,26099.3739991088,50464532.32657762,27.7,0
96,0.3119176705,33773.1375973068,60702844.42094298,21.4,0
97,1.9590250023,167372.8034566939,73659764.57330292,17.41,0
98,0.3467687706,35075.2618559217,60171726.459811136,21.17,0
99,0.3119176705,67641.0761074442,47859116.30013558,21.4,0
100,0.0326617897,24060.6591223851,55084322.59793542,26.3,0
